"POINT (-0.195777 51.479463)", "Erin Close, Walham Green"
"POINT (-0.028941 51.542118)", "Cadogan Close, Victoria Park"
"POINT (-0.215618 51.464786)", "Felsham Road, Putney"
"POINT (-0.216526 51.460717)", "Putney Rail Station, Putney"
"POINT (-0.102757 51.536384)", "Islington Green, Angel"
"POINT (-0.217995 51.487285)", "Charing Cross Hospital, Hammersmith"
"POINT (-0.112721 51.536392)", "Charlotte Terrace, Angel"
"POINT (-0.070329 51.539083)", "Shoreditch Court, Haggerston"
"POINT (-0.07023 51.536654)", "Belford House, Haggerston"
"POINT (-0.174347 51.476964)", "Battersea Church Road, Battersea"
"POINT (-0.176267 51.472876)", "Vicarage Crescent, Battersea"
"POINT (-0.06555 51.528681)", "Durant Street, Bethnal Green"
"POINT (-0.105344 51.515059)", "St. Bride Street, Holborn"
"POINT (-0.202802 51.45682)", "Mexfield Road, East Putney"
"POINT (-0.212145 51.459715)", "Upper Richmond Road, Putney"
"POINT (-0.083632 51.502153)", "Snowsfields, London Bridge"
"POINT (-0.215087 51.490217)", "Barons Court Station, West Kensington"
"POINT (-0.216145 51.46161)", "Disraeli Road, Putney"
"POINT (-0.21555 51.463211)", "Montserrat Road , Putney"
"POINT (-0.163347 51.474392)", "Albert Bridge Road, Battersea Park"
"POINT (-0.216305 51.483356)", "Everington Street, Fulham"
"POINT (-0.034903 51.518541)", "Mile End Stadium, Mile End"
"POINT (-0.14326 51.541007)", "Hawley Crescent, Camden Town"
"POINT (-0.137235 51.473116)", "Stewart's Road, Wandsworth Road"
"POINT (-0.049067 51.51563)", "Aylward Street, Stepney"
"POINT (-0.023565 51.515427)", "Stainsby Road , Poplar"
"POINT (-0.075885 51.536585)", "Dunston Road , Haggerston"
"POINT (-0.060291 51.535716)", "Ada Street, Hackney Central"
"POINT (-0.054162 51.536424)", "Victoria Park Road, Hackney Central"
"POINT (-0.205279 51.487244)", "Star Road, West Kensington"
"POINT (-0.026262 51.536039)", "Wendon Street, Old Ford"
"POINT (-0.058631 51.524583)", "Finnis Street, Bethnal Green"
"POINT (-0.190346 51.46822)", "Stephendale Road, Sands End"
"POINT (-0.184806 51.457991)", "Alma Road, Wandsworth"
"POINT (-0.096518 51.491327)", "Walworth Square, Walworth"
"POINT (-0.150908 51.47505)", "Alfreda Street, Battersea Park"
"POINT (-0.205876 51.475698)", "Chesilton Road, Fulham"
"POINT (-0.20624 51.461999)", "Putney Bridge Road, East Putney"
"POINT (-0.208485 51.478939)", "St. Peter's Terrace, Fulham"
"POINT (-0.229116 51.492084)", "Bridge Avenue, Hammersmith"
"POINT (-0.087262 51.506304)", "Duke Street Hill, London Bridge"
